source,pivot_text(de),pivot_text(zh),back_translated_text(zh),Unnamed: 4,back_translated_text(de)
"A synonym for ""lolcat"" is cat macro, since the images are a type of image macro.","Lolcat ist ein weiteres Wort für Katzen-Makro, da es sich um eine Art Bild-Makro handelt.","“Lolcat”也被称为“猫宏”,因为图片是一种图像宏。","“Lolcat” is also known as the Cat Macro, because the picture is an image macro.",,"Lolcat is another word for cat macro, as it is a kind of image macro."
"In May, Chun declared martial law and did away with all trappings of civilian government, becoming the de facto ruler of the country.",Im Mai erklärte Chun das Kriegsrecht und entfernte alle Trappings der zivilen Regierung und wurde de facto der Herrscher des Landes.,春五月宣布戒严令 文官政府停止了一切征兆 春成为国家事实上的统治者,"In May Spring declared martial law, the civil government stopped all signs and became the de facto ruler of the country.",,In May Chun declared martial law and removed all the trappings of the civilian government and became de facto the ruler of the country.
References External links Discovery of Companions to Asteroids 762 Pulcova and 90 Antiope SWrI Press Release.,Entdeckung von Gefährten zu Asteroiden 762 Pulcova und 90 Antiope.,外部链接:发现与小行星762 Pulcova和90 Antiope SWrI 新闻稿有关联。,External link: Links found with asteroids 762 Pulcova and 90 Antiope SWRI press releases.,,Discovery of Companions to Asteroids 762 Pulcova and 90 Antiope.
Chinchilla females are significantly bigger than males.,Chinchilla Weibchen sind viel größer als Männchen.,女性钦奇拉比男性大。,The female Chinchi Ra is older than the male.,,Chinchilla females are much larger than males.
"In 1939, singer Marian Anderson was denied permission to perform in the Constitution Hall in Washington, because of her race.",Aufgrund ihres Rennens durfte Marian Anderson 1939 nicht in der Constitution Hall in Washington DC auftreten.,"1939年,Marian Anderson在华盛顿宪法厅因种族主义被拒绝演出。","In 1939, Marian Anderson was denied a performance in the Washington Constitutional Office because of racism.",,Marian Anderson was not allowed to perform at the Constitution Hall in Washington DC in 1939 due to her race.
"In computing, Kivio is free diagramming software that is part of KOffice, an integrated office suite for KDE.","Kivio ist eine kostenlose Diagramm-Software, die Teil von KOffice ist, die eine integrierte Office-Suite für KDE ist.","Kivio是一种计算机图解软件,是称为KOffice的办公套件软件的一部分。",Kivio is a computer graphics software that is part of the office package called KOffice.,,"Kivio is a free chart software that is part of KOffice, which is an integrated office suite for KDE."
"Mørk holds a Professorship at the Norwegian Academy of Music, Oslo.",Mørk unterrichtet an der Norwegischen Musikakademie.,Mork是奥斯陆挪威音乐学院的教授。,Mork is a professor at the Norwegian Academy of Music in Oslo.,,Mørk teaches at the Norwegian Music Academy.
Rawalpindi is also the military headquarters of the Pakistan Armed Forces and also served as the nation's capital while Islamabad was being constructed in the 1960s.,"Das militärische Hauptquartier der pakistanischen Streitkräfte ist Rawalpindi, die auch die Hauptstadt des Landes während des Baus von Islamabad in den 1960er Jahren war.","拉瓦尔品第也是巴基斯坦武装部队的军事总部,1960年代伊斯兰堡建立时也是巴基斯坦首都。",Rawalpindi was also the military headquarters of the Pakistani armed forces and was the capital of Pakistan when Islamabad was established in the 1960s.,,"The military headquarters of the Pakistani forces are Rawalpindi, which was also the country's capital during the construction of Islamabad in the 1960s."
"Held from 17 June to 19 June 1944, this celebration was referred to as the ""The Jubilee Celebrations of IOC"" by Carl Diem, the originator of the modern tradition of the Olympic torch relay.","Die Feier fand vom 17. Juni bis 19. Juni 1944 statt. Sie wurde von Carl Diem, der die Tradition der olympischen Fackel-Relais begann, als ""Jubiläumsfeier des IOC"" bezeichnet.","1944年6月17日至6月19日,奥林匹克火炬接力现代遗产的创造者卡尔·迪姆(Carl Diem)与这次庆祝活动“国际奥委会的庆典”相联系。","From 17 June to 19 June 1944, the creator of the modern heritage of the Olympic torch relay, Carl Diem, was linked to the celebration of the “Commonwealth of the International Olympic Committee”.",,"The celebration took place from 17 June to 19 June 1944. Carl Diem, who began the tradition of the Olympic torch relay, called it the ""IOC jubilee celebration""."
Celestus microblepharis is a species of lizard in the Anguidae family.,Celestus microblepharis ist eine Eidechse aus der Familie der Echsen (Anguidae).,Celestus 微裂痕是一种蜥蜴物种。,Celestus microfiche is a lizard species.,,Celestus microblepharis is a lizard in the Anguidae family.
